ID,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
20,Independent Horsham,Independent Fuel Supplies,93 Wilson Street,Horsham,Victoria,-36.716937,142.196748
21,Independent Heathcote,Independent Fuel Supplies,10-14 High Street,Heathcote,Victoria,-36.932109,144.716106
22,Caltex Bairnsdale,Caltex,322 Main Street,Bairnsdale,Victoria,-37.827075,147.624612
23,Independent Sale,Independent Fuel Supplies,113 York Street,Sale,Victoria,-38.1100559999999,147.067867
24,Mobil Sale,7-Eleven Pty Ltd,127-133 Foster Street,Sale,Victoria,-38.111183,147.067728
25,Mobil Traralgon,7-Eleven Pty Ltd,21 Princes Street,Traralgon,Victoria,-38.198027,146.540177
26,Mobil Trafalgar,7-Eleven Pty Ltd,41 Princes Highway,Trafalgar,Victoria,-38.20848,146.151179
27,Shell Morwell,Shell,167-169 Princes Drive,Morwell,Victoria,-38.2357069999999,146.395998
28,Roma Truck Stop,Shell,72 Quinton Street,Roma,Queensland,-26.571671,148.78727
29,Coles Express Caboolture,Shell,686 The Abbey Place,Caboolture,Queensland,-27.072266,153.025322
30,Coles Express Deception Bay,Shell,376 Deception Bay Road,Deception Bay,Queensland,-27.1901549999999,153.018573
31,Coles Express Rothwell,Shell,759-761 Deception Bay Road,Rothwell,Queensland,-27.2138239999999,153.045902
32,Coles Express Kippa-Ring,Shell,419 Elizabeth Avenue,Kippa-ring,Queensland,-27.228989,153.085277
33,Coles Express Clontarf,Shell,110 Hornibrook Esplanade,Clontarf,Queensland,-27.25731,153.085961
34,Coles Express Birkdale,Shell,143-153 Birkdale Road,Birkdale,Queensland,-27.4931319999999,153.216278
35,West End ,Shell,143-145 Lambeth Street,Glen Innes,New South Wales,-29.734631,151.728833
36,Coles Express Kempsey,Shell,165 Smith Street,Kempsey,New South Wales,-31.070242,152.845724
37,Coles Express Wanneroo,Shell,964 Wanneroo Road,Wanneroo,Western Australia,-31.7513059999999,115.803465
38,Coles Express Ocean Reef,Shell,4-6 Marina Boulevard,Ocean Reef,Western Australia,-31.767346,115.749534
39,Coles Express Edgewater,Shell,120 Joondalup Drive,Edgewater,Western Australia,-31.769528,115.778794
40,Coles Express Upper Swan Roadhouse,Shell,1333 Great Northern Highway,Upper Swan,Western Australia,-31.7746309999999,116.025962
41,Coles Express Wanneroo Pearsalls,Shell,621 Wanneroo Road,Wanneroo,Western Australia,-31.7801699999999,115.808312
42,Gidgegannup General Store,Shell,2086 Toodyay Road,Gidgegannup,Western Australia,-31.7944219999999,116.193175
43,Coles Express Kingsley,Shell,3-9 Moolanda Boulevard,Kingsley,Western Australia,-31.819744,115.805766
44,Coles Express Girrawheen,Shell,60 Marangaroo Drive,Girrawheen,Western Australia,-31.834462,115.829036
45,Coles Express Duncraig,Shell,193 Warwick Road,Duncraig,Western Australia,-31.835614,115.78304
46,Coles Express Warwick,Shell,274 Erindale Road,Warwick,Western Australia,-31.84448,115.812641
47,Coles Express Malaga,Shell,492 Alexander Drive,Malaga,Western Australia,-31.86338,115.879245
48,Coles Express Middle Swan,Shell,30 Great Northern Highway,Middle Swan,Western Australia,-31.87454,116.011063
49,Coles Express Scarborough,Shell,205 West Coast Highway,Scarborough,Western Australia,-31.892794,115.757194
50,Coles Express Dianella,Shell,67 Walter Road West,Dianella,Western Australia,-31.905817,115.88263
51,Coles Express Mount Lawley,Shell,247 Walcott Street,North Perth,Western Australia,-31.923826,115.859166
52,Coles Express Highgate,Shell,3 Guildford Road,Mount Lawley,Western Australia,-31.93816,115.877089
53,Coles Express Perth,Shell,480-484 William Street,Perth,Western Australia,-31.940867,115.86411
54,Coles Express Wembley,Shell,337 Cambridge Street,Wembley,Western Australia,-31.94098,115.811994
55,Coles Express West Perth,Shell,Thomas Street and Wellington Street,West Perth,Western Australia,-31.945662,115.839626
56,Coles Express Jolimont,Shell,Hay Street and Jersey Street,Jolimont,Western Australia,-31.9473619999999,115.811898
57,Coles Express Cloverdale,Shell,223 Belmont Avenue,Cloverdale,Western Australia,-31.965068,115.933162
58,Coles Express Kalamunda,Shell,7 Mead Street,Kalamunda,Western Australia,-31.973541,116.059356
59,Coles Express South Perth,Shell,391 Mill Point Road,South Perth,Western Australia,-31.9746059999999,115.882016
60,Coles Express Kewdale,Shell,518 Abernethy Road,Kewdale,Western Australia,-31.980117,115.958419
61,Coles Express Claremont,Shell,275-281 Stirling Highway,Claremont,Western Australia,-31.9822159999999,115.783957
62,Coles Express Victoria Park,Shell,66 Kent Street,East Victoria Park,Western Australia,-31.985588,115.896159
63,Coles Express Forrestfield,Shell,2 Strelitzia Avenue,Forrestfield,Western Australia,-31.9886979999999,116.010652
64,Coles Express Bentley,Shell,1132 Albany Highway,Bentley,Western Australia,-32.000615,115.918701
65,Coles Express Mosman Park,Shell,582 Stirling Highway,Mosman Park,Western Australia,-32.0051809999999,115.759436
66,Coles Express Karawara,Shell,25 Walanna Drive,Karawara,Western Australia,-32.011831,115.884138
67,Coles Express Mount Pleasant,Shell,1 The Esplanade,Mount Pleasant,Western Australia,-32.0126089999999,115.850035
68,Coles Express Langford,Shell,74 Nicholson Road,Langford,Western Australia,-32.032011,115.938833
69,Coles Express Bicton,Shell,394 Canning Highway,Bicton,Western Australia,-32.0340919999999,115.792711
70,Coles Express Willetton,Shell,235-239 High Road,Willetton,Western Australia,-32.039076,115.893925
71,Coles Express Myaree,Shell,69 North Lake Road,Myaree,Western Australia,-32.039552,115.815331
72,Coles Express Brentwood,Shell,40 Moolyeen Road,Brentwood,Western Australia,-32.0413629999999,115.848928
73,Coles Express Palmyra,Shell,80-82 Carrington Street,Palmyra,Western Australia,-32.047334,115.77988
74,Coles Express Maddington,Shell,117 Burslem Drive,Maddington,Western Australia,-32.0553239999999,115.979919
75,Coles Express Fremantle,Shell,101 Hampton Road,Fremantle,Western Australia,-32.063301,115.756631
76,Coles Express Bullcreek,Shell,42 Benningfield Road,Bull Creek,Western Australia,-32.0634029999999,115.8579
77,Coles Express Kardinya,Shell,North Lake Road and South Street,Kardinya,Western Australia,-32.0674509999999,115.815269
78,Coles Express Canning Vale,Shell,280 Bannister Road,Canning Vale,Western Australia,-32.0704039999999,115.895682
79,Coles Express Leeming,Shell,51 Farrington Road,Leeming,Western Australia,-32.0791849999999,115.858292
80,Coles Express Southern River,Shell,Ranford Road and Lakey Street,Southern River,Western Australia,-32.103898,115.935304
81,Shell Service Spearwood,Shell,Spearwood Avenue and Wellard Street,Bibra Lake,Western Australia,-32.104418,115.803926
82,Coles Express Westfield,Shell,88 Champion Drive,Seville Grove,Western Australia,-32.130591,116.000961
83,Sam And Joels ,Shell,14-16 Lee Street,Montefiores,New South Wales,-32.540943,148.942852
84,Barmera Roadhouse,Shell,67 Tonkin Avenue,Barmera,South Australia,-34.256751,140.464615
85,Gunning Motors,Shell,54-58 Yass Street,Gunning,New South Wales,-34.781483,149.268317
86,Coles Express Murray Bridge,Shell,57 Adelaide Road,Murray Bridge,South Australia,-35.121799,139.268724
87,Coles Express Kerang,Shell,92 Wellington Street,Kerang,Victoria,-35.735377,143.917782
88,Coles Express Tocumwal,Shell,25 Dean Street,Tocumwal,New South Wales,-35.8081119999999,145.560139
89,Cohuna Shell ,Shell,6323 Murray Valley Highway,Cohuna,Victoria,-35.8197969999999,144.233252
90,Strathmerton Roadhouse,Independent Fuel Supplies,4972 Murray Valley Highway,Strathmerton,Victoria,-35.9250489999999,145.50007
91,Howlong Trading Post,Shell,142-160 Hawkins Street,Howlong,New South Wales,-35.981661,146.639073
92,Corowa ,Shell,223 Sanger Street,Corowa,New South Wales,-35.995241,146.391551
93,Coles Express Albury North,Shell,575 Wagga Road,Lavington,New South Wales,-36.036715,146.963414
94,Coles Express Albury,Shell,465 Guinea Street,Albury,New South Wales,-36.075126,146.921293
95,Coles Express Wodonga,Shell,81-83 Elgin Boulevard,Wodonga,Victoria,-36.1197329999999,146.879643
96,Coles Express Echuca,Shell,235 Ogilvie Avenue,Echuca,Victoria,-36.1407639999999,144.748856
97,Shell Kyabram,Shell,275-285 Allan Street,Kyabram,Victoria,-36.313256,145.050578
98,Coles Express Wangaratta,Shell,5 Parfitt Road,Wangaratta,Victoria,-36.352117,146.331491
99,Murray Goulburn Rochester,Shell,18 Moore Street,Rochester,Victoria,-36.363399,144.698012
100,Coles Express Benalla,Shell,Cnr Bridge Street and Margaret Street,Benalla,Victoria,-36.5564429999999,145.970777
101,Coles Express Horsham,Shell,170-174 Baillie Street,Horsham,Victoria,-36.7113659999999,142.198875
102,Coles Express Euroa,Shell,167 Tarcombe Street,Euroa,Victoria,-36.7429079999999,145.591496
103,Rangeway ,Shell,90-92 High Street,Heathcote,Victoria,-36.925443,144.711517
104,Shell Seymour,Shell,37-39 Emily Street,Seymour,Victoria,-37.02037,145.127793
105,Coles Express Maryborough,Shell,53-55 High Street,Maryborough,Victoria,-37.048329,143.734877
106,Top End Servo,Shell,312 Barker Street,Castlemaine,Victoria,-37.055284,144.218908
107,East End Servo,Shell,Pyrenees Highway and Eureka Street,Chewton,Victoria,-37.077983,144.247838
108,Yea ,Shell,98-100 High Street,Yea,Victoria,-37.211736,145.421975
109,Kuppers ,Shell,199 Burton Avenue,Kyneton,Victoria,-37.237636,144.41984
110,Coles Express Daylesford,Shell,47 Raglan Street,Daylesford,Victoria,-37.339649,144.146735
111,Coles Express Creswick,Shell,18 Clunes Road,Creswick,Victoria,-37.4174389999999,143.893701
112,Shell Mallacoota,Shell,89 Betka Road,Mallacoota,Victoria,-37.559141,149.755712
113,Newmerella Self Serve,Shell,5327 Princes Highway,Newmerella,Victoria,-37.735091,148.431644
114,Coles Express Bairnsdale,Shell,251 Main Street,Bairnsdale,Victoria,-37.827393,147.626648
115,North Arm Auto & Marine,Shell,66 Marine Parade,Lakes Entrance,Victoria,-37.880957,147.97716
116,Urquhart Motors,Shell,9 Main Street,Derrinallum,Victoria,-37.9484469999999,143.224052
117,Murray Goulburn Maffra,Independent Fuel Supplies,8 Foster Street,Maffra,Victoria,-37.9712499999999,146.97808
118,Coles Express Sale,Shell,215 York Street,Sale,Victoria,-38.104846,147.067706
119,Superstock Auto,Independent Fuel Supplies,94 Moore Street,Moe,Victoria,-38.16604,146.262472
120,Coles Express Traralgon,Shell,115 Princes Street,Traralgon,Victoria,-38.199372,146.5344
121,Coles Express Trafalgar,Shell,53 Princes Highway,Trafalgar,Victoria,-38.208275,146.153017
122,Euroka ,Independent Fuel Supplies,134 George Street,Morwell,Victoria,-38.2391049999999,146.399595
123,Yinnar Motors,Shell,50-52 Main Street,Yinnar,Victoria,-38.322821,146.327698
124,Coles Express Colac,Shell,2 Princes Highway,Colac East,Victoria,-38.335298,143.610476
125,Coles Express Anglesea,Shell,107 Great Ocean Road,Anglesea,Victoria,-38.4085729999999,144.186151
126,Timboon Fuels,Shell,109 Bailey Street,Timboon,Victoria,-38.482851,142.966563
127,Woodside ,Shell,66 High Street,Woodside,Victoria,-38.524327,146.874587
128,Murray Goulburn Yarram,Shell,41 Commercial Road,Yarram,Victoria,-38.552961,146.681321
129,Meeniyan Shell ,Shell,Lot 26 Whitelaw Street,Meeniyan,Victoria,-38.578966,146.011077
130,Dowson's,Shell,307 White Road,South Dudley,Victoria,-38.5880739999999,145.579206
131,Alberton Roadhouse,Shell,131 Broughton Street,Alberton,Victoria,-38.619785,146.668015
132,Yanakie Licensed Store,Shell,3638 Meeniyan-Promontory Road,Yanakie,Victoria,-38.812495,146.20739
133,RDD Racecourse,BP,26256 Peak Downs Highway,Racecourse,Queensland,-21.166469,149.131175
134,Mobil West Kempsey,7-Eleven Pty Ltd,8 Elbow Street,West Kempsey,New South Wales,-31.0796309999999,152.831519
135,Mobil Crookwell,7-Eleven Pty Ltd,14-20 Carrington Street,Crookwell,New South Wales,-34.4548639999999,149.459566
136,Mobil Murray Bridge,7-Eleven Pty Ltd,116 Swanport Road,Murray Bridge,South Australia,-35.131119,139.280596
137,Mobil Kerang,7-Eleven Pty Ltd,78-80 Bendigo Road,Kerang,Victoria,-35.739729,143.918892
138,Mobil Cohuna,7-Eleven Pty Ltd,183 King George Street,Cohuna,Victoria,-35.7995309999999,144.212565
139,Mobil Cobram,7-Eleven Pty Ltd,90 Station Street,Cobram,Victoria,-35.9237469999999,145.646066
140,Mobil Mulwala,7-Eleven Pty Ltd,59-65 Melbourne Street,Mulwala,New South Wales,-35.987005,146.007105
141,Mobil Rutherglen,7-Eleven Pty Ltd,17 Fortune Street,Rutherglen,Victoria,-36.0574559999999,146.464153
142,Mobil Albury,7-Eleven Pty Ltd,131 North Street,East Albury,New South Wales,-36.070916,146.944075
143,Mobil Numurkah,7-Eleven Pty Ltd,2 Tocumwal Road,Numurkah,Victoria,-36.088115,145.442781
144,Mobil Wodonga,7-Eleven Pty Ltd,18 Hovell Street,Wodonga,Victoria,-36.1141299999999,146.896061
145,Mobil Wodonga,7-Eleven Pty Ltd,178 Melbourne Road,Wodonga,Victoria,-36.11551,146.870687
146,Mobil Serpentine,7-Eleven Pty Ltd,24 Peppercorn Way,Serpentine,Victoria,-36.412461,143.975197
147,Mobil Wedderburn,7-Eleven Pty Ltd,117 High Street,Wedderburn,Victoria,-36.413754,143.610717
148,Mobil Benalla,7-Eleven Pty Ltd,191-193 Bridge Street,Benalla,Victoria,-36.548733,145.995091
149,Mobil Horsham,7-Eleven Pty Ltd,129-137 Baillie Street,Horsham,Victoria,-36.7121099999999,142.201804
150,Mobil Whitfield,7-Eleven Pty Ltd,4883 Wangaratta-Whitfield Road,Whitfield,Victoria,-36.763923,146.414924
151,Mobil Omeo,Independent Fuel Supplies,196 Day Avenue,Omeo,Victoria,-37.1004619999999,147.590423
152,Mobil Alexandra,7-Eleven Pty Ltd,10 Downey Street,Alexandra,Victoria,-37.190194,145.716597
153,Mobil Yea,7-Eleven Pty Ltd,31 High Street,Yea,Victoria,-37.211695,145.425572
154,Mobil Clunes,7-Eleven Pty Ltd,7 Service Street,Clunes,Victoria,-37.295193,143.786742
155,Mobil Daylesford,7-Eleven Pty Ltd,4375 Midland Highway,Daylesford,Victoria,-37.340807,144.130132
156,Mobil Cann River,7-Eleven Pty Ltd,12 Princes Highway,Cann River,Victoria,-37.566594,149.150578
157,Mobil Swan Reach,Independent Fuel Supplies,2025 Princes Highway,Swan Reach,Victoria,-37.8218429999999,147.857418
158,Bairnsdale,7-Eleven Pty Ltd,57 Main Street,Bairnsdale,Victoria,-37.825775,147.635084
159,Mobil Bairnsdale,7-Eleven Pty Ltd,390 Main Street,Bairnsdale,Victoria,-37.828382,147.618642
160,Mobil Heyfield,7-Eleven Pty Ltd,3 Tyson Road,Heyfield,Victoria,-37.977841,146.784438
161,Mobil Sale,Independent Fuel Supplies,354-362 York Street,Sale,Victoria,-38.098868,147.068262
162,Mobil Longford,Independent Fuel Supplies,115 Seaspray Road,Longford,Victoria,-38.1841899999999,147.091725
163,Mobil Traralgon,Independent Fuel Supplies,66-68 Princes Street,Traralgon,Victoria,-38.198799,146.534609
164,Mobil Traralgon,Horizon,6 Shakespeare Street,Traralgon,Victoria,-38.200459375,146.535357971
165,Mobil Morwell,Independent Fuel Supplies,271-275 Princes Drive,Morwell,Victoria,-38.238241,146.405375
166,Mobil Churchill,Shell,6 Georgina Place,Churchill,Victoria,-38.3130839999999,146.420052
167,Mobil Cobden,7-Eleven Pty Ltd,1236 Camperdown-Cobden Road,Cobden,Victoria,-38.32033,143.07975
168,Mobil Mirboo North,7-Eleven Pty Ltd,108 Ridgeway Street,Mirboo North,Victoria,-38.401562,146.161058
169,Mobil Leongatha,7-Eleven Pty Ltd,7 Anderson Street,Leongatha,Victoria,-38.473757,145.945387
170,Mobil Leongatha,7-Eleven Pty Ltd,95 Bair Street,Leongatha,Victoria,-38.479097,145.947809
171,Mobil Yarram,7-Eleven Pty Ltd,325 Commercial Road,Yarram,Victoria,-38.5654739999999,146.675924
172,Mobil Wonthaggi,7-Eleven Pty Ltd,103-107 McKenzie Street,Wonthaggi,Victoria,-38.599097,145.592078
173,Mobil Inverloch,7-Eleven Pty Ltd,25 Williams Street,Inverloch,Victoria,-38.63166,145.729394
174,Mobil Foster,Independent Fuel Supplies,78 Main Street,Foster,Victoria,-38.6525389999999,146.202643
175,Mobil Toora,7-Eleven Pty Ltd,26 Foster Road,Toora,Victoria,-38.659757,146.322516
176,AP & MT Mavin Petroleum Pty Ltd,Caltex,52 Lachlan Street,South Kempsey,New South Wales,-31.09356,152.837084
177,I & M Simpson & Son Pty Ltd,Caltex,25 Aitken Street,Alexandra,Victoria,-37.187541,145.702946
178,J Chisholm Pty Ltd,Caltex,153-155 Wilson Street,Colac,Victoria,-38.3443906209999,143.584132959
179,Caltex Tambo,Independent Fuel Supplies,Lot 28 Dawson Developmental Road,Tambo,Queensland,-24.8816189999999,146.257843
180,Caltex Mitchell,Caltex,3 Cambridge Street,Mitchell,Queensland,-26.4858809999999,147.978759
181,Caltex Bribie Island,Caltex,151 First Avenue,Bongaree,Queensland,-27.080459,153.173492
182,Woolworths Caltex Deception Bay,Caltex,Lot 3 Bay Avenue,Deception Bay,Queensland,-27.1934469999999,153.02972
183,Caltex Rothwell,Caltex,715 Deception Bay Road,Rothwell,Queensland,-27.2092759999999,153.042853
184,Woolworths Caltex Mango Hill,Caltex,Cnr Anzac Avenue and Josey Road,Mango Hill,Queensland,-27.2233649999999,153.037335
185,Caltex Woolworths Kippa-Ring,Caltex,Cnr Anzac Avenue and Elizabeth Avenue,Kippa-ring,Queensland,-27.226757,153.08499
186,Caltex Redcliffe,Caltex,Cnr Victoria and Anzac Avenue,Redcliffe,Queensland,-27.229526,153.102245
187,Woolworths Caltex Margate,Caltex,9-11 Oxley Street,Margate,Queensland,-27.244405,153.109111
188,Caltex Tenterfield,Caltex,69 Rouse Street,Tenterfield,New South Wales,-29.06492,152.017007
189,Woolworths Caltex Glen Innes,Caltex,150-152 Taylor Street,Glen Innes,New South Wales,-29.7333149999999,151.739251
190,Caltex Glen Innes,Caltex,140-142 Meade Street,Glen Innes,New South Wales,-29.736974,151.737899
191,Woolworths Caltex Kempsey,Caltex,77 Smith Street,Kempsey,New South Wales,-31.0777699999999,152.843047
192,Caltex Kempsey,Caltex,100 Belgrave Street,Kempsey,New South Wales,-31.0803979999999,152.838101
193,Caltex Kempsey South,Caltex,52 Lachlan Street,South Kempsey,New South Wales,-31.0935229999999,152.837082
194,Woolworths Caltex Ellenbrook,Caltex,7 Louisa Grove,Ellenbrook,Western Australia,-31.7808679999999,115.969142
195,Caltex Wangara,Caltex,Hartman Drive and Ocean Reef Road,Wangara,Western Australia,-31.787619,115.828289
196,Woolworths Caltex Hillarys,Caltex,Whitfords Avenue and Endeavour Road,Hillarys,Western Australia,-31.796644,115.745626
197,Caltex Woolworths Kingsley,Caltex,86 Kingsley Drive,Kingsley,Western Australia,-31.8069589999999,115.788817
198,Woolworths Caltex Madeley,Caltex,Hepburn Avenue,Madeley,Western Australia,-31.8191849999999,115.825818
199,Woolworths Caltex Greenwood,Caltex,37 Canham Way,Greenwood,Western Australia,-31.821856,115.820446
200,Caltex West Swan,Caltex,6639 West Swan Road,West Swan,Western Australia,-31.839008,115.990601
201,Caltex Woolworths Carine,Caltex,502 Beach Road,Carine,Western Australia,-31.8463439999999,115.795453
202,Woolworths Caltex Ballajura,Caltex,9-11 Hamelin Drive,Ballajura,Western Australia,-31.847595,115.907042
203,Caltex Malaga,Caltex,1 Capital Road,Malaga,Western Australia,-31.848171,115.878516
204,Caltex North Malaga,Caltex,1896 Beach Road,Malaga,Western Australia,-31.852953,115.882115
205,Caltex Balcatta,Caltex,229 Balcatta Road,Balcatta,Western Australia,-31.862567047,115.819083296
206,Caltex Stratton,Caltex,240 Toodyay Road,Stratton,Western Australia,-31.865645,116.032791
207,Caltex Westminster,Caltex,436 Wanneroo Road,Westminster,Western Australia,-31.867633,115.829866
208,Caltex Beechboro,Caltex,495 Beechboro Road North,Beechboro,Western Australia,-31.868932,115.924298
209,Caltex Woolworths Beechboro,Caltex,159 Altone Road,Beechboro,Western Australia,-31.8711959999999,115.945106
210,Caltex Woolworths Northlands,Caltex,393 Wanneroo Road,Balcatta,Western Australia,-31.87254,115.830941
211,Woolworths Caltex Mirrabooka,Caltex,53 Yirrigan Drive,Mirrabooka,Western Australia,-31.8735399999999,115.861237
212,Caltex Morley,Caltex,298 Benara Road,Morley,Western Australia,-31.8759469999999,115.925393
213,Caltex Woolworths Karrinyup,Caltex,490 Karrinyup Road,Gwelup,Western Australia,-31.882033,115.796196
214,Caltex Swan View,Caltex,307 Morrison Road,Swan View,Western Australia,-31.885682,116.042123
215,Caltex Scarborough,Caltex,74 Scarborough Beach Road,Scarborough,Western Australia,-31.893899,115.764511
216,Caltex Woolworths Midvale,Caltex,375 Great Eastern Highway,Midvale,Western Australia,-31.8945859999999,116.031107
217,Caltex Dianella,Caltex,372 Grand Promenade,Dianella,Western Australia,-31.895572,115.870441
218,Woolworths Caltex Morley,Caltex,232 Walter Road West,Morley,Western Australia,-31.896296,115.895081
219,Woolworths Caltex Dianella,Caltex,360 Grand Promenade,Dianella,Western Australia,-31.8965969999999,115.871649
220,Caltex Mundaring,Independent Fuel Supplies,5895 Great Eastern Highway,Mundaring,Western Australia,-31.900612,116.152074
221,Caltex Woolworths Bassendean,Caltex,309 Guildford Road,Bassendean,Western Australia,-31.90118,115.95921
222,Caltex Doubleview,Caltex,365 Scarborough Beach Road,Innaloo,Western Australia,-31.9014309999999,115.794037
223,Caltex Glen Forrest,Caltex,1400 Great Eastern Highway,Glen Forrest,Western Australia,-31.9034349999999,116.104698
224,Caltex Osborne Park,Caltex,6 Main Street,Osborne Park,Western Australia,-31.913652,115.828517
225,Caltex Glendalough,Caltex,2 Jon Sanders Drive,Glendalough,Western Australia,-31.9223279999999,115.819641
226,Caltex Mount Lawley,Caltex,812 Beaufort Street,Mount Lawley,Western Australia,-31.9252519999999,115.881851
227,Independent Domestic Precinct Perth Airport,Independent Fuel Supplies,130 Fauntleroy Avenue,Perth Airport,Western Australia,-31.930868,115.957342
228,Caltex Leederville,Caltex,317-321 Vincent Street,Leederville,Western Australia,-31.936651,115.84012
229,Woolworths Caltex Floreat,Caltex,99 The Boulevard,Floreat,Western Australia,-31.9366939999999,115.793889
230,Caltex Belmont,Caltex,303 Great Eastern Highway,Belmont,Western Australia,-31.9376779999999,115.933225
231,Caltex Woolworths Highgate,Caltex,342 Beaufort Street,Perth,Western Australia,-31.9425439999999,115.867524
232,Caltex East Perth,Caltex,157 Lord Street,Perth,Western Australia,-31.948521,115.869412
233,Caltex Woolworths Subiaco,Caltex,231 Bagot Road,Subiaco,Western Australia,-31.9506939999999,115.824279
234,Caltex Woolworths Rivervale,Caltex,115 Great Eastern Highway,Rivervale,Western Australia,-31.9535979999999,115.913658
235,Caltex Perth,Caltex,141 Wellington Street,East Perth,Western Australia,-31.9554499999999,115.869933
236,Caltex Nedlands,Caltex,Stirling Highway and  Broadway,Nedlands,Western Australia,-31.977663,115.813626
237,Caltex Kewdale,Caltex,2 Fenton Street,Kewdale,Western Australia,-31.983511,115.956034
238,Woolworths Caltex Forrestfield,Caltex,78 Hale Road,Forrestfield,Western Australia,-31.98801,116.008525
239,Ampol Welshpool,Caltex,115 Kurnall Road,Welshpool,Western Australia,-31.990275905,115.96244694
240,Caltex Applecross,Caltex,918 Canning Highway,Applecross,Western Australia,-32.011444,115.850947
241,Caltex Woolworths Mosman Park,Caltex,676-680 Stirling Highway,Mosman Park,Western Australia,-32.0120219999999,115.755629
242,Caltex Bentley,Caltex,46 Wyong Road,Bentley,Western Australia,-32.01217,115.914205
243,Woolworths Caltex Cannington,Caltex,1344 Albany Highway,Cannington,Western Australia,-32.017526,115.934931
244,Woolworths Caltex Beckenham,Caltex,63 William Street,Beckenham,Western Australia,-32.0221129999999,115.954792
245,Caltex Woolworths Melville,Caltex,587-589 Canning Highway,Alfred Cove,Western Australia,-32.031329,115.815272
246,Caltex Maddington,Caltex,Kelvin Road and Orchard Road,Maddington,Western Australia,-32.0350099999999,115.999172
247,Caltex Woolworths Riverton,Caltex,268 High Road,Riverton,Western Australia,-32.038394,115.896712
248,Caltex Fremantle East,Caltex,180 Canning Highway,East Fremantle,Western Australia,-32.0406609999999,115.766357
249,Woolworths Caltex Maddington,Caltex,76-78 Attfield Street,Maddington,Western Australia,-32.0531619999999,115.980652
250,Caltex Woolworths O'Connor,Caltex,308 Streetock Road,O'Connor,Western Australia,-32.0553449999999,115.7932
251,Caltex Thornlie,Caltex,316 Spencer Road,Thornlie,Western Australia,-32.055854,115.961982
252,Caltex Thornlie,Caltex,219 Yale Road,Thornlie,Western Australia,-32.061096,115.939099
253,Caltex Canning Vale,Caltex,60-62 Bannister Road,Canning Vale,Western Australia,-32.0632869999999,115.92634
254,Caltex Woolworths Murdoch,Caltex,South Street and Robson Way,Murdoch,Western Australia,-32.063396,115.835686
255,Caltex Gosnells North,Caltex,5 Mills Road West,Gosnells,Western Australia,-32.064115,115.999561
256,Woolworths Caltex Canning Vale,Caltex,Nicholson Road and Sarah Close,Canning Vale,Western Australia,-32.072953,115.925586
257,Woolworths Caltex Fremantle,Caltex,199 Hampton Road,South Fremantle,Western Australia,-32.073752,115.758978
258,Caltex Gosnells,Caltex,2347 Albany Highway,Gosnells,Western Australia,-32.075862,116.00631
259,Caltex Canning Vale,Caltex,Ranford Road and Wilfred Road,Canning Vale,Western Australia,-32.082218,115.908929
260,Woolworths Caltex Southern River,Caltex,Warton Road and Furley Road,Southern River,Western Australia,-32.0964339999999,115.935896
261,Caltex South Lake,Caltex,2 Omeo Street,South Lake,Western Australia,-32.108301,115.829179
